Product_Name,Brand,Model,RAM,Storage,Color,Screen_Size,Battery,Main_Camera,Charging,Original_Price,Price,Discount_Percentage,Reviews,In_Stock
Asus ROG Phone 6,Asus,ROG Phone 6,8GB,1TB,Indigo,6.4,4751mAh,107MP,33W,19000,16370,13.84,"A perfect balance of performance and quality. I love it A balanced experience overall, but build quality lacks wow factor. Absolutely love the display. Highly recommend! Terrible battery life! Extremely dissatisfied. performance doesn't meet the standards. I love it Terrible battery life! Extremely dissatisfied. The display is below par. Definitely not worth it. Superb battery life! Makes everything better. Not satisfied with the battery life. I love it A perfect balance of performance and quality. Not impressed",FALSE
OPPO OPPO Find X6 Pro,OPPO,OPPO Find X6 Pro,12GB,1TB,Pearl White,6.5,4129mAh,82MP,100W,36000,32380,10.06,"Amazing camera. Highly recommended The battery life is frustrating to deal with. Not worth the price Satisfactory battery life, but nothing extraordinary. Not satisfied with the battery life. I love it Amazing battery life. Not impressed Unacceptable performance. It ruins the overall experience. Major flaws with the battery life. Needs urgent improvement. Meets expectations, but build quality is unremarkable. Decent performance for the price. build quality is fine. camera is okay. It could be better",FALSE
Asus Zenfone 9,Asus,Zenfone 9,16GB,256GB,Sunset Red,6.8,4541mAh,119MP,80W,25000,21890,12.44,"Very poor battery life. Would not recommend. The camera is frustrating to deal with. Highly recommended Not satisfied with the performance. It could be better Very poor performance. Would not recommend. Meets expectations, but performance is unremarkable. Satisfactory display, but nothing extraordinary. A balanced experience overall, but display lacks wow factor. Mediocre battery life. Could have been better. The display is neither here nor there. I love it Very poor display. Would not recommend.",FALSE
Asus Zenfone 9,Asus,Zenfone 9,8GB,128GB,Moonlight White,6.4,4952mAh,179MP,100W,17000,16020,5.76,"Superb camera! Makes everything better. Terrible camera! Extremely dissatisfied. The performance is below par. Definitely not worth it. camera could use a lot of improvement. I love it A balanced experience overall, but display lacks wow factor. Amazing camera. Not worth the price A perfect balance of camera and quality. Not worth the price Fair performance for the price. battery life is acceptable. Highly impressed with the performance. Great job! The performance is neither here nor there. Not worth the price",TRUE
LG G8X ThinQ,LG,G8X ThinQ,6GB,128GB,Ice Platinum,6.4,4392mAh,113MP,25W,34000,28980,14.76,"Major flaws with the battery life. Needs urgent improvement. Worth every penny! build quality is top-notch Fair performance for the price. performance is acceptable. The camera is below par. Definitely not worth it. Good value for money, but camera is average. Worth every penny! build quality is top-notch The display is neither here nor there. Highly recommended The build quality is neither here nor there. Highly recommended Really impressed with the build quality. I love it Decent performance for the price. camera is fine.",FALSE
Sony Xperia 1 V,Sony,Xperia 1 V,16GB,512GB,Frosted Black,6.6,4266mAh,118MP,100W,39000,33960,12.92,A perfect balance of build quality and quality. Not worth the price Absolutely love the performance. Highly recommend! The performance is neither here nor there. I love it Exceeds expectations! build quality is fantastic. The battery life is below par. Definitely not worth it. Exceptional build quality. Definitely worth the price. The camera is neither here nor there. Not worth the price display is okay. I love it Major flaws with the camera. Needs urgent improvement. Mediocre battery life. Could have been better.,FALSE
Apple iPhone 15 Plus,Apple,iPhone 15 Plus,12GB,2TB,Gold,6.9,4511mAh,162MP,33W,136000,117500,13.6,"Superb display! Makes everything better. Amazing build quality. Not impressed performance is disappointing. I love it Not bad, but performance could use some refinement. Not impressed Mediocre performance. Could have been better. A perfect balance of display and quality. Highly recommended Fair performance for the price. camera is acceptable. A balanced experience overall, but battery life lacks wow factor. battery life is disappointing. Not worth the price Meets expectations, but build quality is unremarkable.",TRUE
Xiaomi Xiaomi 13 Ultra,Xiaomi,Xiaomi 13 Ultra,6GB,512GB,Black,6.4,5072mAh,72MP,65W,31000,29310,5.45,Phenomenal performance! performance is flawless. The battery life is neither here nor there. I love it camera is okay. Not impressed Not satisfied with the display. I love it Exceeds expectations! build quality is fantastic. camera is okay. Highly recommended Very poor build quality. Would not recommend. Amazing battery life. Highly recommended Exceptional battery life. Definitely worth the price. Exceeds expectations! build quality is fantastic.,TRUE
Realme 11 Pro,Realme,11 Pro,16GB,2TB,Cosmic Black,6.7,5092mAh,146MP,45W,37000,31490,14.89,"Very poor camera. Would not recommend. Not bad, but battery life could use some refinement. I love it Very poor build quality. Would not recommend. Phenomenal performance! display is flawless. Worth every penny! build quality is top-notch Exceptional display. Definitely worth the price. Absolutely love the build quality. Highly recommend! Unacceptable performance. It ruins the overall experience. Very poor performance. Would not recommend. Unacceptable performance. It ruins the overall experience.",FALSE
Realme 11 Pro,Realme,11 Pro,6GB,512GB,Sunrise Gold,6.2,4636mAh,197MP,33W,34000,32270,5.09,"Exceptional build quality. Definitely worth the price. Really impressed with the build quality. Highly recommended Not bad, but camera could use some refinement. I love it The performance is frustrating to deal with. I love it Meets expectations, but battery life is unremarkable. The display is frustrating to deal with. Not impressed Fair performance for the price. build quality is acceptable. A perfect balance of build quality and quality. Not impressed Highly impressed with the display. Great job! camera doesn't meet the standards. Not worth the price",TRUE
