Product_Name,Brand,Model,RAM,Storage,Color,Screen_Size,Battery,Main_Camera,Charging,Original_Price,Price,Discount_Percentage,Reviews,In_Stock
LG V60 ThinQ,LG,V60 ThinQ,16GB,1TB,Ice Platinum,6.9,4007mAh,162MP,100W,21000,18240,13.14,Decent performance for the price. build quality is fine. Amazing camera. It could be better battery life doesn't meet the standards. It could be better performance is okay. Not worth the price Superb performance! Makes everything better. Terrible camera! Extremely dissatisfied. Mediocre battery life. Could have been better. The build quality is neither here nor there. It could be better The battery life is frustrating to deal with. It could be better battery life could use a lot of improvement. It could be better,TRUE
Huawei P50 Pro,Huawei,P50 Pro,12GB,256GB,Cyan,6.6,4079mAh,150MP,100W,24000,21410,10.79,"Good value for money, but camera is average. Good value for money, but build quality is average. Fair performance for the price. performance is acceptable. Really impressed with the camera. Not impressed Amazing battery life. Not impressed Phenomenal performance! camera is flawless. Good value for money, but camera is average. A balanced experience overall, but battery life lacks wow factor. Absolutely love the display. Highly recommend! Exceeds expectations! build quality is fantastic.",FALSE
Realme Realme GT 2 Pro,Realme,Realme GT 2 Pro,12GB,256GB,Cosmic Black,6.8,4204mAh,103MP,25W,26000,21820,16.08,"Amazing display. Highly recommended Major flaws with the build quality. Needs urgent improvement. Meets expectations, but battery life is unremarkable. The display is below par. Definitely not worth it. Highly impressed with the display. Great job! Mediocre build quality. Could have been better. Unacceptable display. It ruins the overall experience. Terrible display! Extremely dissatisfied. Really impressed with the build quality. Not impressed battery life could use a lot of improvement. I love it",TRUE
Google Pixel 7,Google,Pixel 7,6GB,128GB,Porcelain,6.8,4474mAh,64MP,45W,35000,31220,10.8,"Not satisfied with the performance. Not impressed A perfect balance of performance and quality. Not impressed The build quality is frustrating to deal with. Not worth the price The battery life is below par. Definitely not worth it. Exceeds expectations! display is fantastic. Good value for money, but performance is average. Major flaws with the camera. Needs urgent improvement. Very poor display. Would not recommend. display doesn't meet the standards. It could be better Amazing display. Not worth the price",FALSE
iQOO 12,iQOO,12,6GB,1TB,Legend,6.3,5154mAh,142MP,25W,25000,21140,15.44,performance doesn't meet the standards. Not worth the price A perfect balance of performance and quality. It could be better battery life doesn't meet the standards. I love it build quality could use a lot of improvement. Highly recommended Worth every penny! camera is top-notch Exceeds expectations! battery life is fantastic. Highly impressed with the build quality. Great job! Highly impressed with the battery life. Great job! Amazing battery life. Not impressed performance is disappointing. I love it,TRUE
Sony Xperia 1 IV,Sony,Xperia 1 IV,8GB,256GB,Burgundy Red,6.6,4552mAh,58MP,100W,30000,24960,16.8,"Mediocre camera. Could have been better. Very poor build quality. Would not recommend. battery life could use a lot of improvement. It could be better build quality is disappointing. I love it Fair performance for the price. display is acceptable. battery life is okay. Not worth the price Not bad, but performance could use some refinement. Not impressed Satisfactory build quality, but nothing extraordinary. Highly impressed with the display. Great job! Very poor build quality. Would not recommend.",FALSE
LG G8X ThinQ,LG,G8X ThinQ,12GB,256GB,Aurora Black,6.7,5344mAh,117MP,100W,31000,26560,14.32,"build quality is disappointing. Highly recommended Highly impressed with the display. Great job! Phenomenal performance! camera is flawless. Absolutely love the performance. Highly recommend! camera doesn't meet the standards. Not impressed Meets expectations, but battery life is unremarkable. Meets expectations, but battery life is unremarkable. Terrible battery life! Extremely dissatisfied. Absolutely love the performance. Highly recommend! camera doesn't meet the standards. Not impressed",FALSE
Samsung Galaxy Z Fold 5,Samsung,Galaxy Z Fold 5,12GB,2TB,Titanium Yellow,6.6,4817mAh,66MP,45W,154000,142610,7.4,"Decent performance for the price. display is fine. Fair performance for the price. display is acceptable. Worth every penny! camera is top-notch Not bad, but performance could use some refinement. It could be better Phenomenal performance! build quality is flawless. battery life could use a lot of improvement. It could be better Decent performance for the price. build quality is fine. Unacceptable battery life. It ruins the overall experience. Highly impressed with the build quality. Great job! Exceeds expectations! camera is fantastic.",FALSE
Google Pixel 7a,Google,Pixel 7a,6GB,2TB,Porcelain,6.2,4365mAh,114MP,100W,70000,59110,15.56,"camera doesn't meet the standards. I love it Exceptional camera. Definitely worth the price. Amazing display. Not worth the price Mediocre display. Could have been better. Phenomenal performance! camera is flawless. The battery life is frustrating to deal with. Not impressed Meets expectations, but camera is unremarkable. Amazing build quality. Not worth the price Mediocre build quality. Could have been better. build quality could use a lot of improvement. It could be better",FALSE
Sony Xperia 5 V,Sony,Xperia 5 V,16GB,128GB,Midnight Blue,6.3,4414mAh,81MP,100W,34000,31520,7.29,"Mediocre performance. Could have been better. Highly impressed with the battery life. Great job! The display is neither here nor there. Not worth the price Phenomenal performance! display is flawless. Mediocre battery life. Could have been better. Mediocre performance. Could have been better. Exceeds expectations! battery life is fantastic. A perfect balance of camera and quality. Not worth the price Meets expectations, but display is unremarkable. Unacceptable performance. It ruins the overall experience.",TRUE
Apple iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,6GB,512GB,Gold,6.6,4100mAh,145MP,65W,107000,89220,16.62,"Absolutely love the build quality. Highly recommend! Worth every penny! camera is top-notch Exceeds expectations! build quality is fantastic. Exceeds expectations! performance is fantastic. Highly impressed with the performance. Great job! Unacceptable performance. It ruins the overall experience. Satisfactory display, but nothing extraordinary. Good value for money, but camera is average. Terrible camera! Extremely dissatisfied. build quality doesn't meet the standards. Highly recommended",FALSE
